Book_name,Price,Availability,UPC,Genre,Image_URL,Book_URL
A Light in the Attic,,In stock (22 available),a897fe39b1053632,Poetry,https://books.toscrape.com/media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,,In stock (19 available),e10e1e165dc8be4a,Default,https://books.toscrape.com/media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,,In stock (19 available),1dfe412b8ac00530,Poetry,https://books.toscrape.com/media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
Sharp Objects,,In stock (20 available),e00eb4fd7b871a48,Mystery,https://books.toscrape.com/media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Tipping the Velvet,,In stock (20 available),90fa61229261140a,Historical Fiction,https://books.toscrape.com/media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
The Dirty Little Secrets of Getting Your Dream Job,,In stock (19 available),2597b5a345f45e1b,Business,https://books.toscrape.com/media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
Soumission,,In stock (20 available),6957f44c3847a760,Fiction,https://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,https://books.toscrape.com/catalogue/soumission_998/index.html
Sapiens: A Brief History of Humankind,,In stock (20 available),4165285e1663650f,History,https://books.toscrape.com/media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,,In stock (19 available),f77dbf2323deb740,Young Adult,https://books.toscrape.com/media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",,In stock (19 available),0312262ecafa5a40,Default,https://books.toscrape.com/media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,,In stock (19 available),30a7f60cd76ca58c,Poetry,https://books.toscrape.com/media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
